qid query question1 question2 passage human_id label1 label2
26 "hurtles definition" "Are you looking for defining pain" "are you looking for a specific type of hurtles" "Pain is a distressing feeling often caused by intense or damaging stimuli, such as stubbing a toe, burning a finger, putting alcohol on a cut, or bumping the funny bone.[1] Because it is a complex, subjective phenomenon, defining pain has been a challenge. The International Association for the Study of Pain's widely used definition states: Pain is an unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage." 2 1
27 "does apnea mean shortness of breath" "Are you looking for sleep apnea" "would you like to know more about apnea" "Sleep apnea (AP-ne-ah) is a common disorder in which you have one or more pauses in breathing or shallow breaths while you sleep. Breathing pauses can last from a few seconds to minutes. They may occur 30 times or more an hour." 2 1
28 "how many days dog is in gestation" "Are you looking for daily puppy gestation period dogs" "would you like to know how many days dogs are in gestation" "According to the Daily Puppy, the gestation period for dogs is typically around 63 days. However, a healthy dog pregnancy can range anywhere from 58 to 68 days depending on the dog. Continue Reading" 2 1
29 "what is the weather in belize in october" "Are you looking for belize rainy season hurricane season" "would you like to know the weather in belize in october" "In Belize, the rainy season and the hurricane season run from June to November. When hurricane season is here, with the most active months being September, October and November we recommend keeping an eye out here for updates if the local weather situation becomes tenser. Weather Forecast | Weather Maps | Weather Radar | Hurricane Center." 2 1
30 "what kind of doctor do you see if you have a stiff neck" "Are you looking for purpura headache stiff neck photosensitivity" "would you like to know about photosensitivity of a stiff neck" "Would think that if you have purpura, headache, stiff neck and photosensitivity you need to see someone asap and get checked out to be on the safe side. If it was me think I would phone the surgery's out of hours service today and ask to speak with the doc there and tell him your symptoms." 2 0
31 "meaning of append" "would you like to know more about appendend" "are you looking for a definition of append" "Definition of 'append'. Word Frequency. append (Épend ) Word forms: 3rd person singular present tense appends , present participle appending , past tense appended. verb. When you append something to something else, especially a piece of writing, you attach it or add it to the end of it." 1 0
32 "what game is quidditch?" "Are you looking for quidditch game" "would you like to know more about quidditch" "Quidditch is a game played by characters in J.K. Rowling's Harry Potter series. The game is played on broomsticks outside on a oval-shaped pitch. There are two teams of 7 players, with 4 balls in play at all times. The first ball is called the Quaffle. The Quaffle is handled by the three Chasers." 2 1
33 "actress who played brooke in bold and beautiful" "are you looking for brooke in" "would you like to know who played brooke logan forrester in bold and beautiful" "Brooke Logan Forrester in THE BOLD AND THE BEAUTIFUL. Hometown: Hollywood, California. Birthday: July 25. Katherine Kelly Lang originated the role of Brooke Logan, the show's quintessential heroine, at THE BOLD AND THE BEAUTIFUL's inception on March 23, 1987. In 2014, Lang received her first Daytime Emmy nomination in the category of Outstanding Lead Actress in a Drama Series.." 1 0
34 "what is a door sash" "are you looking for a door sash" "Are you looking for window sash framework" "sash, window sash - a framework that holds the panes of a window in the window frame. sawbuck, sawhorse, buck, horse - a framework for holding wood that is being sawed. stocks - a frame for constraining an animal while it is receiving veterinary attention or while being shod." 1 2
35 "how much does babysitting pay hourly" "would you like to know the average hourly rate of babysitting in sittercity" "Are you looking for sittercity babysitters average hourly rate" "According to a 2017 survey of Sittercity babysitters: The average hourly rate for a babysitter under 21 years old is $12.19/hour. The average hourly rate for a babysitter over 21 years old is $12.46/hour. Use the chart below to determine the most appropriate hourly wage for your part of the country." 0 2
36 "how much does it cost to mulch" "would you like to know the cost of mulch" "Are you looking for mulch installation costs" "Mulch Installation Costs. For professional mulch installation, you might pay anywhere between $160 and $270, although this wonât include the cost to buy or deliver mulch. This is determined by the square footage of area you need covered along with labor and delivery costs." 1 2
37 "what is a r&r in a kia car" "are you looking for a kia car" "Are you looking for kia motors south korean" "About Kia. Kia Motors is a South Korean automaker that's relatively new to the United States. In its early years, Kia largely catered to budget-minded consumers with well-equipped vehicles priced below competing models. More recently, this growing brand has kept value a priority while also emphasizing technology and sportiness." 1 2
38 "webster family definition" "Are you looking for noah webster 1758 1843 lexicographer" "are you referring to the lexicographer noah webster 1758 1843" "Noah Webster (1758 â 1843), was a lexicographer and a language reformer. He is often called the Father of American Scholarship and Education. In his lifetime he was also a lawyer, schoolmaster, author, newspaper editor and an outspoken politician." 2 0
39 "is gonorrhea viral or bacterial" "Are you looking for gonorrhea sexually transmitted disease std" "are you interested in gonorrhea sexually transmitted disease std" "Gonorrhea is the sexually-transmitted disease (STD) resulting from infection by the bacteria known as Neisseria gonorrhoeae. Chlamydia is another sexually-transmitted infection (STD) due to the bacteria Chlamydia trachomatis. Although infected women may not have symptoms, a vaginal discharge may occur." 2 0
40 "how much is a superintendent salary in new york" "would you like to know the maximum pay size for superintendents in new york" "Are you looking for superintendentsâ maximum pay size" "Mr. Cuomoâs proposal would tie superintendentsâ maximum pay to the size of their school districts, with the leaders of New Yorkâs largest districts limited to a salary of $175,000 and those in the smallest limited to $125,000.bout one-third of the stateâs more than 650 superintendents earn more than $175,000, and Mr. Cuomo said his pay cap would save $15 million. Mr. Christieâs measure, which he introduced last year, imposes a pay ceiling of $175,000, with case-by-case exceptions permitted only for the largest districts." 0 2
41 "hummus calories per serving" "would you like to know the calories per serving of hummus calories per serving" "Are you looking for hummus recipe includes chickpeas tahini" "A basic hummus recipe includes chickpeas and tahini (ground sesame seed paste) seasoned with various flavorings and blended smooth with oil. A two-tablespoon serving of plain hummus contains 70 calories, 5 grams of fat, 1 gram of saturated fat, 1 gram of fiber and 2 grams of protein. basic hummus recipe includes chickpeas and tahini (ground sesame seed paste) seasoned with various flavorings and blended smooth with oil. A two-tablespoon serving of plain hummus contains 70 calories, 5 grams of fat, 1 gram of saturated fat, 1 gram of fiber and 2 grams of protein." 1 2
42 "what does bios stand for" "Are you looking for bios means computer" "would you like to know more about bios" "bios it short for basic input/output system. it is the part of a operation system that handles the communications between the computer and its peripherals. http://www.wallpaperama.com/forums/what-bios-means-in-computer-bios-stands-for-meaning-of-bios-t1912.html" 2 1
43 "what is venous thromboembolism" "Are you looking for venous thromboembolism vte" "would you like to know more about venous thromboembolism vt" "A venous thromboembolism (VTE) is a blood clot that develops in a blood vessel called a vein that carries blood to the heart. It may develop in any vein but happens most often in the legs, thighs, or pelvis. This is called deep vein thrombosis (DVT)." 2 0
44 "what is formative assessment?" "are you looking for a formative assessment" "would you like to know how formative assessment is commonly referred to" "Formative and summative assessment represent two classifications of assessment, each with a distinct purpose. Formative assessment is commonly referred to as assessment for learning, in which the focus is on monitoring student response to and progress with instruction." 1 0
45 "what was the kansas nebraska act and its significance" "would you like to know more about the kansas nebraska act" "Are you looking for purpose kansas nebraska act decide" "The purpose of the Kansas-Nebraska Act was to decide on whether or not the state should be free or slave by popular sovereignty with the average person voting on the decisio â¦ n when the territory applied for statehood.he Missouri Compromise was repealed in the Kansas-Nebraska Act, which says that all states/territories above the 36 degrees 30 minutes latitude line were free states. Edit." 1 2
46 "average persons daily steps" "Are you looking for adults average 000 000 steps" "are you looking for a specific person" "The reality is that many people, young and old, are missing the mark for being active. According to the researchers, healthy older adults average 2,000-9,000 steps/day and people living with a disability or a chronic illness that limits their mobility or physical endurance average about 1,200-8,800 steps/day." 2 1
47 "difference between dystrophy and atrophy?" "Are you looking for definition atrophy" "would you like to know the definition of atrophy" "Definition of atrophy. plural. atrophies. 1 : decrease in size or wasting away of a body part or tissue atrophy of muscles; also : arrested development or loss of a part or organ incidental to the normal development or life of an animal or plant. 2 : a wasting away or progressive decline It was not a solitude of atrophy, of negation, but of perpetual flowering." 2 0
48 "what day is labor day in september" "Are you looking for labor day united states" "would you like to know more about labor day in september" "Labor Day in the United States is a public holiday celebrated on the first Monday in September. It honors the American labor movement and the contributions that workers have made to the strength, prosperity, laws and well-being of the country." 2 1
49 "which states have compact rn license" "are you looking for a compact nursing license practice nlc" "are you looking for compact rn license" "RNs with a compact nursing license may practice across NLC state lines, although advanced practice registered nurses (APRNs) are not included in this compact. NLC Map RN's seeking a compact nursing license are advised to focus on positions in the 25 states highlighted on this map." 0 1
50 "price of synthetic grass" "are you interested in having synthetic grass professionally installed in your project" "Are you looking for project having synthetic grass professionally" "1 Both required a helper for the project. 2  Having synthetic grass professionally installed can be $6-$20 or more a square foot depending on the quality of materials and the complexity of the installation (odd shapes, a slope, etc.)." 0 2
51 "lynwood ca is what county" "would you like to know more about lynwood ca" "are you looking for library policies in lynwood ca" "Computer policies for the County Library. Friends of the Lynwood Library is a volunteer-run organization that supports the library and library events - join today to get involved! Friends of the Lynwood Library provides these service(s) to support the library: Friends of the Library DVD Rentals." 1 0
52 "is it safe to drink laban during pregnancy" "Are you looking for safe drink alkaline water pregnancy" "do you want to know if laban is safe to drink alkaline water during pregnancy" "Yes, itâs not only safe to drink alkaline water during pregnancy; it also helps you with some health benefits. We know how important it is for anyone to drink water and how beneficial water can be to anyone, but during pregnancy the type of water you drink can also make difference." 2 0
53 "percentage of children living in poverty" "Are you looking for percent people poverty children 18" "would you like to know the percent of people who live in poverty 18 years old" "Children represent 24 percent of the population, but they comprise 34 percent of all people in poverty. Among all children under 18 years of age, 45 percent live in low-income families and approximately one in every five (22 percent) live in poor families. 48 percent of children 3 through 5 years old â 5.9 million â live in low-income families. 2  45 percent of children 6 through 11 years old â 10.9 million â live in low-income families. 3  41 percent of children 12 through 17 years old â 10 million â live in low-income families." 2 0
54 "what do i need for a motorcycle license in Wi" "Are you looking for motorcycle license 16 years old" "are you looking for a motorcycle license" "Motorcycle Only License. To get a Motorcycle Only license you must be at least 16 years old and have held a learners permit for at least a year with no traffic convictions. If you are over 18 you are not required to have held a learners permit.otorcycle Only License. To get a Motorcycle Only license you must be at least 16 years old and have held a learners permit for at least a year with no traffic convictions. If you are over 18 you are not required to have held a learners permit." 2 1
55 "which nfl teams has the most super bowl appearances" "do you want to know which nfl team appeared in the super bowl" "Are you looking for team appeared super bowl" "What team has appeared in the Super Bowl the most? The Dallas Cowboys, the Pittsburgh Steelers and the New England  Patriots are tied with eight appearances each. The Steelers have  claimed a record six Super Bowl titles, whâ¦ile the Cowboys and the  San Francisco 49ers are tied for second place with five each." 0 2
56 "what is stool impaction" "are you looking for a specific type of stool impaction" "Are you looking for fecal impaction large" "Fecal impaction is a large accumulation of hard stool, likely in the rectum, which is unable to be passed secondary to its large size and scyballous consistency. Mega-colon can be an extreme result of constipation which leads to a dilated, atonic colon [4]." 1 2
57 "arctic region definition" "do you want to know what the arctic region consists of" "Are you looking for arctic region consists" "The Arctic (/ËÉrktÉªk/ f) is a polar region located at the northernmost part of the Earth. The Arctic consists of the Arctic Ocean and parts of Alaska (United States), Canada, Finland, Greenland (Denmark), Iceland, Norway, Russia, and Sweden.The Arctic region consists of a vast ocean with a seasonally varying ice cover, surrounded by treeless permafrost.he Arctic consists of the Arctic Ocean and parts of Alaska (United States), Canada, Finland, Greenland (Denmark), Iceland, Norway, Russia, and Sweden. The Arctic region consists of a vast ocean with a seasonally varying ice cover, surrounded by treeless permafrost." 0 2
58 "what is requip used to treat" "Are you looking for parkinson disease requip approved treat" "would you like to know more about requip" "This medication is licensed to treat two conditions: 1  Parkinson's disease -- Requip has been approved to treat signs and symptoms of Parkinson's disease. 2  Restless legs syndrome (RLS) -- The medication also has been approved to treat moderate to severe primary restless legs syndrome." 2 1
59 "dept of public safety hours" "would you like to know the hours of public safety hours" "Are you looking for tomball police department jail facility" "The Jail Operations Section maintains the Tomball Police Department Jail Facility and Public Safety Officers (PSO's) guard inmates 24 hours a day 7 days a week. The Tomball Police Department Jail Facility has 6 cells with each having restroom facilities and access to a phone." 1 2
60 "is tiffany rubin still married" "are you looking for tiffany rubin" "do you want to know if tiffany rubin has jewish cousins" "Lara and Ericâs baby will still be surrounded by plenty of Jewish influences. He will have three Jewish cousins: the children of Trumpâs daughter Ivanka, a convert to Orthodox Judaism, and her husband, Jared. Plus, another Trump daughter, Tiffany, is dating Ross Mechanic, who is Jewish." 1 0
61 "is graphite rare" "Are you looking for graphite mineral composed exclusively element" "are you looking for graphite rare" "Graphite is a mineral composed exclusively of the element carbon. Graphite has the same chemical composition as Diamond, which is also pure carbon, but the molecular structure of Graphite and Diamond is entirely different. This causes almost opposite characteristics in their physical properties. Graphite is rather common mineral, but fine crystals are rare. Most Graphite mining areas produce enormous quantities from a single or several large Graphite vein s, but collector specimens in good crystals are not commonly encountered." 2 1
62 "what was pieter Aertsen known for" "Are you looking for anton van leeuwenhoek 1632" "would you like to know more about pieter aertsen" "Anton van Leeuwenhoek (1632 - 1723) was a Dutch tradesman and scientist, best known for his work on the development and improvement of the microscope and also for his subsequent contribution towards the study of microbiology." 2 1
63 "how much bigger is us population than canada" "Are you looking for population size canada" "do you want to know the size of the us population" "POPULATION. For its size, Canada has a small population. Although physically it is the second-largest country in the world, its population was only 31,281,092, according to a July 2000 estimate, or just under one-tenth the size of that of the United States." 2 0
64 "BFCNs what is" "are you looking for a bona fide occupational bfoq" "Are you looking for bfoq bona fide occupational" "In employment law, a bona fide occupational qualification (BFOQ) (US) or bona fide occupational requirement (BFOR) (Canada) or genuine occupational qualification (GOQ) (UK) is a quality or an attribute that employers are allowed to consider when making decisions on the hiring and retention of employees â a quality that when considered in other ..." 0 2
65 "did un ask,obama to be president" "Are you looking for sees israel problem reminding question" "would you like to know more about obama president" "(photo credit:Courtesy). In a recent Jerusalem Post interview, former deputy secretary of state Elliot Abrams said President Barack Obama âsees Israel as a problem,â reminding us of the question that wonât go away.Itâs a question being asked by many a political pundit, and not just on the island of Manhattan or in Israel.photo credit:Courtesy). In a recent Jerusalem Post interview, former deputy secretary of state Elliot Abrams said President Barack Obama âsees Israel as a problem,â reminding us of the question that wonât go away." 2 1
66 "which are the types of fat in the stomach" "would you like to know more about the types of fat in the stomach" "do you want to know what type of fat lies beneath the abdominal fat" "There are different types of fat in the body: Visceral fat lies beneath the abdominal muscle, so is not visible. On the other hand, subcutaneous fat is right underneath the skin, so can be seen. We now know that those who have more belly fat, or visceral fat, are at a significantly higher heart disease and diabetes risk, among others. The reason for this is that visceral fat surrounds the vital organs." 1 0
67 "what is iwc" "Are you looking for anatomy watch brand iwc" "are you interested in the iwc watch brand" "IWC: anatomy of a watch brand. IWC is the sartorialistâs favourite watch brand. Simon de Burton tells the story of the precision engineering firm from Schaffhausen. Friends of the IWC brand: Matthew Fox, Tim Jefferies, Hiroyuki Sanada, Elle Macpherson, Marc Forster and Eric Dane Photo: IWC." 2 0
68 "when does evergreen state fair start" "would you like to know more about the history of the evergreen state fair" "Are you looking for texas state fair held" "This year, the fair opens on Friday, September 30 and runs until Sunday, October 23, 2016. The very first Texas state fair was held in 1886. Not long after that, the fair became the first, and still the only state fair with a full blown auto show, which continues to be a huge attraction for fair goers." 1 2
69 "in what county is deerfield michigan" "Are you looking for deerfield located dane county wi" "would you like to know more about deerfield michigan" "Deerfield is located in Dane County, WI. The population is 2,208. There are 4 public schools in Deerfield with an average Homefacts rating of A-. The total crime rate for Deerfield is low, and there are 14 registered sex offenders residing in the city." 2 1
70 "how much money is deducted from social security check each month" "would you like to know how much money is deducted from social security check each month" "Are you looking for average monthly social security benefit" "The average monthly Social Security benefit check is $1,294. That means an annual income of $15,528. So, if your benefits are near average and Social Security is your only source of income in retirement, you wonât hit the threshold for paying taxes on any of your benefits." 1 2
71 "where is chicago?" "would you like to know more about chicago" "are you looking for the metropolitan area of chicago referred to as chicagoland" "With over 2.7 million residents, it is the most populous city in the state of Illinois and the Midwest. The Chicago metropolitan area, often referred to as Chicagoland, is home to nearly 10 million people and is the third-largest in the U.S. Chicago is the seat of Cook County." 1 0
72 "what is mobileme control panel" "are you looking for a specific type of control panel" "Are you looking for pic gsm easily monitor control" "The purpose of this board is to allow the development of remote control applications. Using PIC-GSM you can easily monitor and control your home from everywhere with your GSM cell phone. You can switch on and off relays remotely by SMS. You can monitor the status of your GPIOs or toggle them." 1 2
73 "Where did the pioneers come from" "would you like to know more about the history of the pioneers" "do you want to know if the pioneer settlers immigrated to iowa in" "Many pioneer settlers who immigrated to Iowa between 1833 and 1870 were born in states to the east of Iowa. They came in large numbers from Ohio, Indiana, Illinois and New York. Other immigrants came from countries such Germany, Great Britain and Ireland.ith this purchase, the U.S. government claimed the land we now call Iowa as part of the United States. But it wasn't until the 1830's that pioneer farmers from the east began crossing the Mississippi River to settle in Iowa." 1 0
74 "what is the balloon that is used for weight loss" "would you like to know more about weight loss" "would you like to know how much weight loss the orberaâ intragastric balloon provides" "The ORBERAÂ® intragastric balloon provides a six month kick start to healthy weight loss and is an ideal solution if you are looking to lose up to 22-33lbs* of excess weight but are fearful of surgery, fed up with diets, pills and other weight loss programs that just havenât worked." 1 0
75 "madera ca is in what county" "are you looking for a specific county" "would you like to know where madera is located" "Corte Madera (/ËkÉËrtÉ mÉËdÉrÉ/; formerly Adams)[9] is an incorporated town in Marin County, California, United States. Corte Madera is located 3.25 miles (5.2 km) south of San Rafael,[9] at an elevation of 39 feet (12 m).[1] The population was 9,253 at the 2010 census." 1 0
76 "what food can help lower cholesterol" "Are you looking for foods help lower cholesterol variety" "are you interested in the variety of foods that help lower cholesterol" "Foods that can help lower cholesterol. 1  A variety of whole- and multi-grain products, such as bran and oats. 2  Fatty fishes, such as salmon, mackerel and albacore tuna. 3  Foods rich in antioxidants, such as fruits and vegetables. 4  Foods high in omega-3 fatty acids, such as avocado, flax seeds, olive oil and canola oil." 2 0
77 "how to vinegar solution and weed killer" "Are you looking for killing grass weeds quickly" "are you looking for weed killer" "Instead, use the solution of salt, water and vinegar to kill grass and weeds that pop up in undesirable locations, such as sidewalks and driveways. Mix 1 cup of salt with 1 cup of boiling water and 1 cup of vinegar to create a potent weed and grass killer.pplication. Once you've mixed your solution, pour it immediately over the grass and weeds you want to kill. Making sure the water is hot is key to killing the grass and weeds quickly. Saturate the entire area, then wait about two days." 2 1
78 "what is mild facet hypertrophic changes" "would you like to know more about mild facet hypertrophic changes" "Are you looking for lumbar hypertrophic disease facet joints" "1 I have mild lumbar hypertrophic disease in the facet joints with ligamentum flavum thickening. Dr. Shahid Rafique Dr. Rafique. 1 doctor agreed: Progressive: This is a progressive condition. It is unusual for a 27 years old to develop significant degenerative disease. There may be mechanical factors like scoliosis, leg length discrepency or abnormalities of the joints of the lower limbs." 1 2
